characters_count,and_or_count,blank_line,capital_start,end_dot,imperative_start,wrap_to_72,verb_direct_obj,changed_files_count,changes_methods_count,files_to_body_ratio,methods_to_body_ratio,methods_long,methods_complexity,methods_parameters,added_lines,label
43,0,1,1,1,0,1,0,26,11,0,0,1,1,1,620,bad
35,1,1,1,1,0,1,0,6,1,0,0,1,1,1,140,bad
36,1,1,1,1,1,1,1,5,0,0,-1,-1,-1,-1,191,neutral
38,0,1,1,1,0,1,1,8,0,0,-1,-1,-1,-1,10,neutral
35,0,1,1,1,0,1,1,9,0,0,-1,1,1,1,223,bad
8,1,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,2,neutral
30,0,1,1,1,1,1,1,8,0,0,-1,0.57,0.66,1,444,bad
33,1,1,1,1,1,1,1,17,5,0,0,0.56,0.44,-1,118,bad
55,1,1,1,1,1,1,1,29,8,0,0,0.53,0.89,0.53,415,bad
41,1,1,1,1,1,1,1,2,0,0,-1,-1,-1,-1,2,good
37,1,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,5,good
49,1,1,1,1,1,1,1,1,1,0,0,-1,1,-1,9,good
22,1,1,1,1,0,1,1,1,0,0,-1,-1,-1,-1,2,good
31,1,1,1,1,0,1,1,1,0,0,-1,-1,-1,-1,8,good
39,1,1,1,1,0,1,1,6,36,0,0,1,0.97,1,202,neutral
40,1,1,1,0,1,1,1,26,32,0,0,0.6,0.75,1,220,bad
37,1,1,1,1,1,1,1,14,26,0,0,0.68,1,1,229,bad
106,0,1,1,0,0,0,1,3,0,0,-1,-1,-1,-1,26,bad
35,1,1,1,1,0,1,1,1,0,0,-1,-1,-1,-1,1,good
44,0,1,1,0,1,1,1,18,29,0,0,0.93,-1,0.93,105,bad
29,1,1,1,1,0,1,0,5,5,0,0,1,1,1,41,bad
9,1,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,2,neutral
12,1,1,1,1,1,1,0,1,1,0,0,1,1,1,3,bad
26,1,1,1,1,0,1,1,2,1,0,0,-1,1,1,5,good
49,1,1,1,1,1,1,1,2,2,0,0,1,-1,1,3,good
16,1,1,1,1,0,1,0,8,11,0,0,-1,-1,-1,33,bad
34,1,1,1,1,1,1,1,6,2,0,0,1,1,1,11,neutral
21,1,1,1,1,1,1,1,12,12,0,0,0.2,1,1,134,neutral
35,0,1,1,1,1,1,1,2,0,0,-1,-1,-1,-1,11,good
